央视   ,#genre#
CCTV 01,http://%68%74%74%70%73://%6c%69%76%65%61%6c%69%2e%69%66%65%6e%67%2e%63%6f%6d/%6c%69%76%65/%46%48%59%43%2e%6d%33%75%38#http://live-wcloud-cdn.ysp.cctv.cn/tlivecloud-cdn.ysp.cctv.cn/001/2000210102.m3u8#http://%70%6c%61%79%65%72%2e%32%30%30%38%37%37%39%32%36%2e%74%6f%70/%31%37/%66%6a/%66%6a%74%76%6d%33%75%38%2e%70%68%70?%69%64=%32%31%32#http://101.71.255.229:6610/zjhs/2/10079/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://umslive.hebyun.com.cn/live/cctv1/1500k/tzwj_video.m3u8#http://live.massp.cn:5011/vod/video_hls/c03.m3u8#http://mrw.so/4JSRxg?tv.m3u8#http://112.50.243.4/PLTV/88888888/224/3221226489/1.m3u8#http://l1.weihai.tv:8081/hls/3bjRUVNYwi.m3u8
CCTV 02,http://live-wcloud-cdn.ysp.cctv.cn/tlivecloud-cdn.ysp.cctv.cn/001/2000203602.m3u8#http://112.50.243.4/PLTV/88888888/224/3221226795/1.m3u8#%68%74%74%70%73://%31%31%36%2e%37%37%2e%37%32%2e%31%39%35/%73%74%72%65%61%6d%73/%64/%63%63%74%76%32/%70%6c%61%79%6c%69%73%74%2e%6d%33%75%38#http://www.itvi.vip/cctv.php?id=2000203603#http://101.71.255.229:6610/zjhs/2/10089/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://umslive.hebyun.com.cn/live/cctv2/1500k/tzwj_video.m3u8#http://121.31.30.90:8085/ysten-business/live/cctv-2/1.m3u8#http://live-temp-litchi-hls-yf.jstv.com/live/zhibo-cctv2/online.m3u8
CCTV 03,http://%68%74%74%70%73://%31%31%36%2e%37%37%2e%37%32%2e%31%39%35/%73%74%72%65%61%6d%73/%64/%63%63%74%76%33/%70%6c%61%79%6c%69%73%74%2e%6d%33%75%38#http://live-wcloud-cdn.ysp.cctv.cn/tlivecloud-cdn.ysp.cctv.cn/001/2000203803.m3u8#http://101.71.255.229:6610/zjhs/2/10069/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://mrw.so/4o0eBX?tv.m3u8#http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000203802.m3u8#http://player.200877926.top/17/hubei/hbgdm3u8.php?id=cctv3hd
CCTV 04,http://live-wcloud-cdn.ysp.cctv.cn/tlivecloud-cdn.ysp.cctv.cn/001/2000204802.m3u8#http://101.71.255.229:6610/zjhs/2/10090/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://www.itvi.vip/cctv.php?id=2000204803#http://player.200877926.top/17/hubei/hbgdm3u8.php?id=cctv4#http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000204802.m3u8#http://umslive.hebyun.com.cn/live/cctv4/1500k/tzwj_video.m3u8#http://mrw.so/4o0cip?tv.m3u8
CCTV 05,http://live-wcloud-cdn.ysp.cctv.cn/tlivecloud-cdn.ysp.cctv.cn/001/2000205102.m3u8#http://101.71.255.229:6610/zjhs/2/10076/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://www.itvi.vip/cctv.php?id=2000205103#http://112.50.243.4/PLTV/88888888/224/3221226560/1.m3u8#%68%74%74%70%73://%31%31%36%2e%37%37%2e%37%32%2e%31%39%35/%73%74%72%65%61%6d%73/%64/%63%63%74%76%35/%70%6c%61%79%6c%69%73%74%2e%6d%33%75%38#http://121.31.30.90:8085/ysten-business/live/cctv-5/yst.m3u8#http://mrw.so/4uQuLo?tv.m3u8
CCTV 06,http://101.71.255.229:6610/zjhs/2/10066/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#%68%74%74%70%73://%31%31%36%2e%37%37%2e%37%32%2e%31%39%35/%73%74%72%65%61%6d%73/%64/%63%63%74%76%36/%70%6c%61%79%6c%69%73%74%2e%6d%33%75%38#http://player.200877926.top/17/hubei/hbgdm3u8.php?id=cctv6hd#http://live-wcloud-cdn.ysp.cctv.cn/tlivecloud-cdn.ysp.cctv.cn/001/2000203303.m3u8#http://www.itvi.vip/cctv.php?id=2000203302#http://mrw.so/4o0fob?tv.m3u8
CCTV 07,http://%68%74%74%70%73://%31%31%36%2e%37%37%2e%37%32%2e%31%39%35/%73%74%72%65%61%6d%73/%64/%63%63%74%76%37/%70%6c%61%79%6c%69%73%74%2e%6d%33%75%38#http://live-wcloud-cdn.ysp.cctv.cn/tlivecloud-cdn.ysp.cctv.cn/001/2000510002.m3u8#http://101.71.255.229:6610/zjhs/2/10091/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://112.50.243.4/PLTV/88888888/224/3221226803/1.m3u8#http://umslive.hebyun.com.cn/live/cctv7/1500k/tzwj_video.m3u8#http://mrw.so/4CmIjh?tv.m3u8
CCTV 08,http://live-wcloud-cdn.ysp.cctv.cn/tlivecloud-cdn.ysp.cctv.cn/001/2000203902.m3u8#%68%74%74%70%73://%31%31%36%2e%37%37%2e%37%32%2e%31%39%35/%73%74%72%65%61%6d%73/%64/%63%63%74%76%38/%70%6c%61%79%6c%69%73%74%2e%6d%33%75%38#http://101.71.255.229:6610/zjhs/2/10062/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://www.itvi.vip/cctv.php?id=2000203903
CCTV 09,http://live-wcloud-cdn.ysp.cctv.cn/tlivecloud-cdn.ysp.cctv.cn/001/2000499402.m3u8#http://player.200877926.top/17/hubei/hbgdm3u8.php?id=cctv9hd#%68%74%74%70%73://%31%31%36%2e%37%37%2e%37%32%2e%31%39%35/%73%74%72%65%61%6d%73/%64/%63%63%74%76%39/%70%6c%61%79%6c%69%73%74%2e%6d%33%75%38#http://101.71.255.229:6610/zjhs/2/10092/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://mrw.so/5dXJhe?tv.m3u8#http://www.itvi.vip/cctv.php?id=2000499403
CCTV 10,http://%68%74%74%70%73://%31%31%36%2e%37%37%2e%37%32%2e%31%39%35/%73%74%72%65%61%6d%73/%64/%63%63%74%76%31%30/%70%6c%61%79%6c%69%73%74%2e%6d%33%75%38#http://live-wcloud-cdn.ysp.cctv.cn/tlivecloud-cdn.ysp.cctv.cn/001/2000203502.m3u8#http://101.71.255.229:6610/zjhs/2/10084/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://www.itvi.vip/cctv.php?id=2000203503#http://player.200877926.top/17/hubei/hbgdm3u8.php?id=cctv10hd#http://mrw.so/4JSVUe?tv.m3u8
