央视卫视,#genre#
CCTV4K,http://111.0.27.30/tlivecloud-cdn.ysp.cctv.cn/001/2000266302.m3u8
CCTV1综合,http://111.0.27.27/tlivecloud-cdn.ysp.cctv.cn/001/2000210103.m3u8#http://cctvalih5ca.v.myalicdn.com/live/cctv1_2/index.m3u8#http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000210103.m3u8
CCTV2-财经,http://111.0.27.27/tlivecloud-cdn.ysp.cctv.cn/001/2000203603.m3u8#http://cctvalih5ca.v.myalicdn.com/live/cctv2_2/index.m3u8#http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000203603.m3u8
CCTV-3综艺,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000203803.m3u8#http://111.0.27.27/tlivecloud-cdn.ysp.cctv.cn/001/2000203803.m3u8#http://cctvalih5ca.v.myalicdn.com/live/cctv3_2/index.m3u8 
CCTV4-中文国际,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000204803.m3u8#http://111.0.27.27/tlivecloud-cdn.ysp.cctv.cn/001/2000204803.m3u8#http://cctvalih5ca.v.myalicdn.com/live/cctv4_2/index.m3u8  
CCTV-5体育,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000205103.m3u8#http://111.0.27.27/tlivecloud-cdn.ysp.cctv.cn/001/2000205103.m3u8#http://hebcx.chinashadt.com:2036/live/10007.stream/playlist.m3u8  
CCTV5+,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000204503.m3u8
CCTV-6电影,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000203303.m3u8#http://121.31.30.90:8085/ysten-business/live/cctv-6/1.m3u8#http://cctvtxyh5ca.liveplay.myqcloud.com/live/cctv6_2_hd.m3u8
CCTV-7军事农业,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000510003.m3u8#http://www.ynbit.cn:1935/CCTV-7/livestream/chunklist_w449873961.m3u8
CCTV-8电视剧,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000203903.m3u8#http://121.31.30.90:8085/ysten-business/live/cctv-8/1.m3u8
CCTV-9记录,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000499403.m3u8#http://121.31.30.90:8085/ysten-business/live/cctv-news/1.m3u8
CCTV-10科教,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000203503.m3u8#http://cctvalih5ca.v.myalicdn.com/live/cctv10_2/index.m3u8
CCTV11,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000204103.m3u8
CCTV-12社会与法,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000202603.m3u8#http://cctvalih5ca.v.myalicdn.com/live/cctv12_2/index.m3u8
CCTV-13新闻,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000204603.m3u8#http://cctvalih5ca.v.myalicdn.com/live/cctv13_2/index.m3u8
CCTV14,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000204403.m3u8
CCTV-15音乐,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000205003.m3u8#http://121.31.30.90:8085/ysten-business/live/cctv-15/1.m3u8
CCTV17,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000204203.m3u8
湖南卫视,http://39.135.34.153:18890/000000001000/1000000001000009115/1.m3u8#http://140.249.30.118/tlivecloud-cdn.ysp.cctv.cn/2000296203.m3u8#http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000296203.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226241/1.m3u8#http://hbpx.chinashadt.com:2036/live/px5.stream/playlist.m3u8
北京卫视,http://39.135.34.143:18890/000000001000/1000000001000017156/1.m3u8#http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000272101.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226224/1.m3u8#http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/btv1_2/index.m3u8
江苏卫视,http://39.135.34.157:18890/000000001000/1000000001000004684/1.m3u8#http://140.249.30.118/tlivecloud-cdn.ysp.cctv.cn/2000295603.m3u8#http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000295603.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226242/1.m3u8#http://by4.nty.tv189.cn/tm-jswshd-800k.m3u8
湖北卫视,http://39.135.34.152:18890/000000001000/6956052407855047826/1.m3u8#http://140.249.30.118/tlivecloud-cdn.ysp.cctv.cn/2000294501.m3u8#http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000294501.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226310/1.m3u8#http://live.cjyun.org/hubeitv/s10008-live-hbws.m3u8
浙江卫视,http://39.135.34.146:18890/000000001000/1000000001000009806/1.m3u8#http://140.249.30.118/tlivecloud-cdn.ysp.cctv.cn/2000295503.m3u8#http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000295503.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226247/1.m3u8#http://ali.m.l.cztv.com/channels/lantian/channel01/360p.m3u8 
上海卫视,http://39.135.34.143:18890/000000001000/1000000001000030202/1.m3u8
深圳卫视,http://39.135.34.150:18890/000000001000/1000000001000011645/1.m3u8#http://140.249.30.118/tlivecloud-cdn.ysp.cctv.cn/2000292203.m3u8#http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000292203.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226245/1.m3u8#http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/shenzhen_2_hd.m3u8
山东卫视,http://39.135.34.142:18890/000000001000/1000000001000012807/1.m3u8#http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000294801.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226308/1.m3u8#http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/shandong_2_hd.m3u8
