央视卫视,#genre#
CCTV4K,http://111.0.27.30/tlivecloud-cdn.ysp.cctv.cn/001/2000266302.m3u8
CCTV1,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000210103.m3u8
CCTV2,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000203603.m3u8
CCTV3,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000203803.m3u8
CCTV4,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000204803.m3u8
CCTV5,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000205103.m3u8
CCTV6,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000203303.m3u8
CCTV7,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000510003.m3u8
CCTV8,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000203903.m3u8
CCTV9,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000499403.m3u8
CCTV10,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000203503.m3u8
CCTV11,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000204103.m3u8
CCTV12,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000202603.m3u8
CCTV13,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000204603.m3u8
CCTV14,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000204403.m3u8
CCTV15,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000205003.m3u8
CCTV17,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000204203.m3u8
CCTV5+,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000204503.m3u8
湖南卫视,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000296203.m3u8
东方卫视,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000292403.m3u8
广东卫视,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000292703.m3u8
深圳卫视,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000292203.m3u8
浙江卫视,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000295503.m3u8
江苏卫视,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000295603.m3u8
深圳卫视,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000292201.m3u8
北京卫视,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000272101.m3u8
海南卫视,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000291501.m3u8
山东卫视,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000294801.m3u8
江西卫视,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000294101.m3u8
湖北卫视,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000294501.m3u8
河南卫视,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000296101.m3u8
河北卫视,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000293401.m3u8
贵州卫视,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000293301.m3u8
东南卫视,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000292501.m3u8
广西卫视,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000294201.m3u8
四川卫视,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000295001.m3u8
辽宁卫视,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000281301.m3u8
重庆卫视,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000297801.m3u8
安徽卫视,http://61.151.179.192/tlivecloud-cdn.ysp.cctv.cn/001/2000298001.m3u8
湖北卫视,http://140.249.30.118/tlivecloud-cdn.ysp.cctv.cn/2000294501.m3u8
湖南卫视,http://140.249.30.118/tlivecloud-cdn.ysp.cctv.cn/2000296203.m3u8
湖南卫视,http://140.249.30.118/tlivecloud-cdn.ysp.cctv.cn/2000296201.m3u8
东方卫视,http://140.249.30.118/tlivecloud-cdn.ysp.cctv.cn/2000292403.m3u8
浙江卫视,http://140.249.30.118/tlivecloud-cdn.ysp.cctv.cn/2000295503.m3u8
广东卫视,http://140.249.30.118/tlivecloud-cdn.ysp.cctv.cn/2000292703.m3u8
江苏卫视,http://140.249.30.118/tlivecloud-cdn.ysp.cctv.cn/2000295603.m3u8
深圳卫视,http://140.249.30.118/tlivecloud-cdn.ysp.cctv.cn/2000292203.m3u8
黑龙江卫视,http://140.249.30.118/tlivecloud-cdn.ysp.cctv.cn/2000293903.m3u8
辽宁卫视,http://140.249.30.118/tlivecloud-cdn.ysp.cctv.cn/2000281301.m3u8
浙江卫视,http://140.249.30.118/tlivecloud-cdn.ysp.cctv.cn/2000295501.m3u8
广东卫视,http://140.249.30.118/tlivecloud-cdn.ysp.cctv.cn/2000292701.m3u8
江苏卫视,http://140.249.30.118/tlivecloud-cdn.ysp.cctv.cn/2000295601.m3u8
深圳卫视,http://140.249.30.118/tlivecloud-cdn.ysp.cctv.cn/2000292201.m3u8
东方卫视,http://140.249.30.118/tlivecloud-cdn.ysp.cctv.cn/2000292401.m3u8
黑龙江卫视,http://140.249.30.118/tlivecloud-cdn.ysp.cctv.cn/2000293901.m3u8
安微卫视,http://140.249.30.118/tlivecloud-cdn.ysp.cctv.cn/2000298001.m3u8
