央视频道,#genre#
CCTV1[1920*1080],http://39.135.49.209:6610/PLTV/88888888/224/3221227014/1.m3u8?servicetype=1
CCTV1[1920*1080],http://39.135.49.209:6610/PLTV/88888888/224/3221226599/1.m3u8?servicetype=1
CCTV1[1920*1080],http://39.135.49.209:6610/PLTV/88888888/224/3221225829/1.m3u8?servicetype=1
CCTV1[1920*1080],http://39.135.49.209:6610/PLTV/88888888/224/3221225922/1.m3u8?servicetype=1
CCTV1[1920*1080],http://39.135.49.209:6610/PLTV/88888888/224/3221226908/1.m3u8?servicetype=1
CCTV2[1920*1080],http://39.135.49.209:6610/PLTV/88888888/224/3221226915/1.m3u8?servicetype=1
CCTV2[1920*1080],http://39.135.49.209:6610/PLTV/88888888/224/3221225923/1.m3u8?servicetype=1
CCTV2[1920*1080],http://39.135.49.209:6610/PLTV/88888888/224/3221225800/1.m3u8?servicetype=1
CCTV2[1920*1080],http://39.135.49.209:6610/PLTV/88888888/224/3221226795/1.m3u8?servicetype=1
CCTV3[1920*1080],http://39.135.49.209:6610/PLTV/88888888/224/3221227055/1.m3u8?servicetype=1
CCTV4[1920*1080],http://39.135.49.209:6610/PLTV/88888888/224/3221225802/1.m3u8?servicetype=1
CCTV4[1920*1080],http://39.135.49.209:6610/PLTV/88888888/224/3221226968/1.m3u8?servicetype=1
CCTV5[1920*1080],http://39.135.49.209:6610/PLTV/88888888/224/3221227170/1.m3u8?servicetype=1
CCTV5+[1920*1080],http://39.135.49.209:6610/PLTV/88888888/224/3221225821/1.m3u8?servicetype=1
CCTV5+[1920*1080],http://39.135.49.209:6610/PLTV/88888888/224/3221225939/1.m3u8?servicetype=1
CCTV5+[1920*1080],http://39.135.49.209:6610/PLTV/88888888/224/3221226919/1.m3u8?servicetype=1
CCTV6[1920*1080],http://39.135.49.209:6610/PLTV/88888888/224/3221227137/1.m3u8?servicetype=1
CCTV7[1920*1080],http://39.135.49.209:6610/PLTV/88888888/224/3221225805/1.m3u8?servicetype=1
CCTV7[1920*1080],http://39.135.49.209:6610/PLTV/88888888/224/3221225927/1.m3u8?servicetype=1
CCTV7[1920*1080],http://39.135.49.209:6610/PLTV/88888888/224/3221226972/1.m3u8?servicetype=1
CCTV8[1920*1080],http://39.135.49.209:6610/PLTV/88888888/224/3221227174/1.m3u8?servicetype=1
CCTV9[1920*1080],http://39.135.49.209:6610/PLTV/88888888/224/3221225929/1.m3u8?servicetype=1
CCCTV9[1920*1080],http://39.135.49.209:6610/PLTV/88888888/224/3221226923/1.m3u8?servicetype=1
CCTV9[1920*1080],http://39.135.49.209:6610/PLTV/88888888/224/3221225820/1.m3u8?servicetype=1
CCTV10[1920*1080],http://39.135.49.209:6610/PLTV/88888888/224/3221225931/1.m3u8?servicetype=1
CCTV10[1920*1080],http://39.135.49.209:6610/PLTV/88888888/224/3221226976/1.m3u8?servicetype=1
CCTV10[1920*1080],http://39.135.49.209:6610/PLTV/88888888/224/3221225814/1.m3u8?servicetype=1
CCTV11[1920*1080],http://39.135.49.209:6610/PLTV/88888888/224/3221225815/1.m3u8?servicetype=1
CCTV11[1920*1080],http://39.135.49.209:6610/PLTV/88888888/224/3221226927/1.m3u8?servicetype=1
CCTV12[1920*1080],http://39.135.49.209:6610/PLTV/88888888/224/3221226931/1.m3u8?servicetype=1
CCTV12[1920*1080],http://39.135.49.209:6610/PLTV/88888888/224/3221225816/1.m3u8?servicetype=1
CCTV12[1920*1080],http://39.135.49.209:6610/PLTV/88888888/224/3221225932/1.m3u8?servicetype=1
CCTV13[1920*1080],http://39.135.49.209:6610/PLTV/88888888/224/3221225817/1.m3u8?servicetype=1
CCTV13[1920*1080],http://39.135.49.209:6610/PLTV/88888888/224/3221226985/1.m3u8?servicetype=1
CCTV14[1920*1080],http://39.135.49.209:6610/PLTV/88888888/224/3221225819/1.m3u8?servicetype=1
CCTV14[1920*1080],http://39.135.49.209:6610/PLTV/88888888/224/3221225933/1.m3u8?servicetype=1
CCTV14[1920*1080],http://39.135.49.209:6610/PLTV/88888888/224/3221227086/1.m3u8?servicetype=1
CCTV15[1920*1080],http://39.135.49.209:6610/PLTV/88888888/224/3221225818/1.m3u8?servicetype=1
CCTV15[1920*1080],http://39.135.49.209:6610/PLTV/88888888/224/3221226989/1.m3u8?servicetype=1
CCTV16[1920*1080],http://39.135.49.209:6610/PLTV/88888888/224/3221227125/1.m3u8?servicetype=1
